Case Number,Address,Parcel,Establishment Name,Code Number,Code Description,Case Open Date,Case Closed Date,Date Cited,Date Corrected,Code Case Status,geocoded_column
149816,,,White Hall @ Lesley University,3-501.16 *,"Potentially Hazardous Food, Hot and Cold Holding",10/18/2021 12:00:00 AM,10/18/2021 12:00:00 AM,10/18/2021 12:00:00 AM,,Complete,
163758,"699 Mt Auburn St, Cambridge, MA 02138",252-172,AFC SUSHI @ STAR MARKET #2565,,,02/17/2022 12:00:00 AM,03/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,,Complete,POINT (-71.148745 42.375065)
165272,,,Guckenheimer @ Takeda Cambridge 500 Coffee Bar,,,03/01/2022 12:00:00 AM,03/08/2022 12:00:00 AM,03/01/2022 12:00:00 AM,,Complete,
168842,"983 Massachusetts Ave, Cambridge, MA 02138",116-94,SAKANA,,,03/31/2022 12:00:00 AM,04/14/2022 12:00:00 AM,03/31/2022 12:00:00 AM,,Complete,POINT (-71.110815 42.3693)
173026,,,Tenoch,,,04/29/2022 12:00:00 AM,05/02/2022 12:00:00 AM,04/29/2022 12:00:00 AM,,Complete,
174315,"52 Brattle St, Cambridge, MA 02138",168-64,Toscano,4-501.12 ,Cutting Surfaces,05/09/2022 12:00:00 AM,06/06/2022 12:00:00 AM,05/09/2022 12:00:00 AM,06/06/2022 12:00:00 AM,Complete,POINT (-71.121933 42.374293)
177734,,,Aster Montessori School,,,05/26/2022 12:00:00 AM,05/26/2022 12:00:00 AM,05/26/2022 12:00:00 AM,,Complete,
180157,"1493 Cambridge St, Cambridge, MA 02139",111-60,CHA ZINBERG HIV CLINIC,,,06/10/2022 12:00:00 AM,06/10/2022 12:00:00 AM,06/10/2022 12:00:00 AM,,Complete,POINT (-71.104437 42.374425)
181038,"30 Cambridgepark Dr, Cambridge, MA 02140",265D-52,Panda Bilingual Daycare,,,06/16/2022 12:00:00 AM,06/16/2022 12:00:00 AM,06/16/2022 12:00:00 AM,,Complete,POINT (-71.142807 42.394423)
184072,"1815 Massachusetts Ave, Cambridge, MA 02140",152-17,Chocho's,4-602.13 ,Non-Food Contact Surfaces Clean-Frequency,07/07/2022 12:00:00 AM,09/07/2022 12:00:00 AM,,08/25/2022 12:00:00 AM,Complete,POINT (-71.118975 42.387136)
186101,,,Huamulan Inc.,,,07/20/2022 12:00:00 AM,07/21/2022 12:00:00 AM,07/20/2022 12:00:00 AM,,Complete,
188080,,,Summer Food Program,,,08/02/2022 12:00:00 AM,08/02/2022 12:00:00 AM,08/02/2022 12:00:00 AM,,Complete,
188294,,,Huamulan Inc.,,,08/03/2022 12:00:00 AM,08/03/2022 12:00:00 AM,08/03/2022 12:00:00 AM,,Complete,
189207,,,Summer Food Program,,,08/09/2022 12:00:00 AM,08/10/2022 12:00:00 AM,08/09/2022 12:00:00 AM,,Complete,
189203,,,Summer Food Program,,,08/09/2022 12:00:00 AM,08/10/2022 12:00:00 AM,08/09/2022 12:00:00 AM,,Complete,
191205,"169 Harvard St, Cambridge, MA 02139",76-62,Pikalo Empanadas,,,08/18/2022 12:00:00 AM,08/22/2022 12:00:00 AM,08/18/2022 12:00:00 AM,,Complete,POINT (-71.095606 42.366212)
193310,"1105 Massachusetts Ave, Cambridge, MA 02138",134-56,Cafe Sushi,,,08/24/2022 12:00:00 AM,09/01/2022 12:00:00 AM,,,Complete,POINT (-71.113669 42.370851)
194214,,,Black Sheep Bagel Cafe,3-304.14 ,"Wiping Cloths, Use Limitation",09/08/2022 12:00:00 AM,09/08/2022 12:00:00 AM,09/08/2022 12:00:00 AM,09/08/2022 12:00:00 AM,Complete,
195184,"1722 Massachusetts Ave, Cambridge, MA 02138",175-75,Poke City,590.009(G) ,Food Allergy Awareness Requirements,09/15/2022 12:00:00 AM,11/14/2022 12:00:00 AM,09/15/2022 12:00:00 AM,10/24/2022 12:00:00 AM,Complete,POINT (-71.119687 42.383908)
195851,,,Shanti,,,09/14/2022 12:00:00 AM,09/28/2022 12:00:00 AM,09/14/2022 12:00:00 AM,,Complete,
196755,,,Camp,,,09/23/2022 12:00:00 AM,09/28/2022 12:00:00 AM,09/23/2022 12:00:00 AM,,Complete,
197007,"80 Jfk St, Cambridge, MA 02138",161-58,HUDS Eliot/Kirkland,,,09/29/2022 12:00:00 AM,09/30/2022 12:00:00 AM,09/29/2022 12:00:00 AM,,Complete,POINT (-71.120959 42.370503)
197361,"463 Massachusetts Ave, Cambridge, MA 02139",91-191,McDonald's,,,10/03/2022 12:00:00 AM,10/03/2022 12:00:00 AM,10/03/2022 12:00:00 AM,,Complete,POINT (-71.100893 42.363921)
200829,"111 Harvard St, Cambridge, MA 02139",42-58,Amelia's Trattoria,,,10/31/2022 12:00:00 AM,10/31/2022 12:00:00 AM,10/31/2022 12:00:00 AM,,Complete,POINT (-71.0927 42.36499)
201220,"241 Cambridge St, Cambridge, MA 02141",21-110,sweet touch cafe,,,11/02/2022 12:00:00 AM,11/03/2022 12:00:00 AM,11/02/2022 12:00:00 AM,,Complete,POINT (-71.079952 42.371145)
